datetime,open,high,low,close
2024-12-10,2659.96997,2695.61011,2656.82007,2691.97998
2024-12-11,2692.01001,2721.13989,2675.55005,2718.11011
2024-12-12,2718.12012,2726.30005,2675.22998,2683.070068
2024-12-13,2683.070068,2692.76001,2652.31006,2653.070068
2024-12-14,2653.030029,2653.56006,2646.23999,2648.51001
2024-12-16,2649.1499,2664.47998,2643.6499,2653.36011
2024-12-17,2653.3501,2658.76001,2633.22998,2645.40991
2024-12-18,2645.44995,2651.80005,2604.28003,2604.28003
2024-12-19,2604.63989,2626.44995,2583.55005,2596.8501
2024-12-20,2596.98999,2631.77002,2589.80005,2627.94995
2024-12-21,2627.93994,2628.13989,2619.3999,2623.29004
2024-12-23,2622.87988,2633.30005,2608.18994,2611.27002
2024-12-24,2611.37988,2621.46997,2609.22998,2617.27002
2024-12-26,2616.29004,2639.12012,2615.22998,2635.060059
2024-12-27,2634.94995,2638.36011,2611.81006,2620.72998
2024-12-28,2620.68994,2622.28003,2612.82007,2621.8999
2024-12-30,2621.61011,2628.11011,2596.19995,2607.17993
2024-12-31,2607.15991,2627.57007,2602.69995,2623.84009
2025-01-01,2623.66992,2625.030029,2622.15991,2624.56006
2025-01-02,2625.1499,2660.44995,2621.78003,2654.78003
2025-01-03,2654.93994,2665.34009,2639.17993,2639.68994
2025-01-04,2639.42993,2640.8501,2636.83008,2639.48999
2025-01-06,2639.91992,2649.46997,2614.88989,2634.47998
2025-01-07,2634.46997,2664.26001,2633.070068,2649.44995
2025-01-08,2649.43994,2669.95996,2645.3501,2658.3501
2025-01-09,2658.36011,2678.15991,2655.72998,2670.22998
2025-01-10,2670.3501,2697.8999,2664.13989,2685.93994
2025-01-11,2685.94995,2693.47998,2684.71997,2690.15991
2025-01-13,2689.93994,2693.32007,2656.90991,2658.97998
2025-01-14,2658.97998,2676.3501,2658.8501,2674.37988
2025-01-15,2674.34009,2696.060059,2669.42993,2693.93994
2025-01-16,2694.1001,2724.77002,2690.1001,2715.37988
2025-01-17,2715.40991,2717.44995,2702.88989,2703.27002
2025-01-18,2703.21997,2704.27002,2699.40991,2702.86011
2025-01-20,2703.15991,2713.98999,2689.44995,2708.31006
2025-01-21,2707.44995,2745.96997,2702.87012,2742.95996
2025-01-22,2742.80005,2763.37988,2740.15991,2755.42993
2025-01-23,2755.44995,2758.83008,2735.96997,2754.19995
2025-01-24,2754.12012,2786.050049,2751.47998,2774.68994
2025-01-25,2774.67993,2774.8501,2770.66992,2771.25
2025-01-27,2765.66992,2772.61011,2730.59009,2739.37988
2025-01-28,2739.43994,2765.02002,2734.8999,2764.87012
2025-01-29,2764.8501,2766.30005,2744.90991,2755.32007
